L1_current,L1_voltage,L1_power,L1_apparent_energy,L1_power_factor,L2_current,L2_voltage,L2_power,L2_apparent_energy,L2_power_factor,L3_current,L3_voltage,L3_power,L3_apparent_energy,L3_power_factor,time
0.093,235.117,21.865880999999998,195.4212,-0.712,0.059,235.167,13.874853,70.80080000000001,-0.041,0.066,235.139,15.519174000000001,36.1554,-0.333,1730885715
0.059,235.121,13.872139,195.4212,0.388,0.056,235.171,13.169576,70.80080000000001,-0.025,0.048,235.16,11.28768,36.1554,0.015,1730885716
0.054,235.306,12.706524,195.4212,0.365,0.056,235.296,13.176575999999999,70.80080000000001,-0.232,0.068,235.282,15.999176000000002,36.1554,-0.65,1730885717
0.051,235.306,12.000606,195.4212,0.798,0.054,235.309,12.706686,70.80080000000001,0.175,0.068,235.354,16.004072,36.1554,-0.068,1730885718
0.061,235.341,14.355801,195.4212,-0.408,0.048,235.355,11.297039999999999,70.80080000000001,-0.232,0.048,235.395,11.298960000000001,36.1554,0.069,1730885719
0.045,235.341,10.590345,195.4212,-0.536,0.072,235.394,16.948368,70.80080000000001,-0.084,0.056,235.378,13.181168,36.1554,-0.455,1730885720
0.048,235.359,11.297232000000001,195.4212,-0.772,0.045,235.391,10.592595,70.80080000000001,-0.214,0.045,235.43,10.59435,36.1554,-0.024,1730885721
0.051,235.186,11.994486,195.4212,-0.376,0.051,235.195,11.994945,70.80080000000001,-0.234,0.048,235.159,11.287632,36.1554,-0.175,1730885722
0.056,235.183,13.170247999999999,195.4212,0.272,0.051,235.169,11.993618999999999,70.80080000000001,-0.076,0.051,235.167,11.993516999999999,36.1554,-0.16,1730885723
0.09,235.279,21.17511,195.4212,0.376,0.061,235.266,14.351225999999999,70.80080000000001,-0.16,0.048,235.224,11.290752,36.1554,-0.22,1730885724
0.045,235.261,10.586744999999999,195.4212,-0.201,0.051,235.335,12.002085,70.80080000000001,0.03,0.082,235.337,19.297634,36.1554,-0.103,1730885725
0.064,235.257,15.056448000000001,195.4212,0.015,0.074,235.287,17.411238,70.80080000000001,-0.318,0.045,235.343,10.590435,36.1554,-0.141,1730885726
0.051,235.233,11.996882999999999,195.4212,-0.683,0.068,235.206,15.994008000000001,70.80080000000001,-0.108,0.056,235.212,13.171872,36.1554,-0.428,1730885727
0.045,235.271,10.587195,195.4212,-0.676,0.066,235.256,15.526896,70.80080000000001,-0.4,0.045,235.325,10.589625,36.1554,-0.46,1730885728
0.061,235.225,14.348725,195.4212,-0.903,0.074,235.263,17.409461999999998,70.80080000000001,-0.055,0.051,235.377,12.004227,36.1554,-0.108,1730885729
0.045,235.272,10.58724,195.4212,-0.222,0.056,235.271,13.175175999999999,70.80080000000001,-0.232,0.056,235.261,13.174616,36.1554,-0.337,1730885730
0.056,235.382,13.181392,195.4212,0.224,0.085,235.397,20.008745,70.80080000000001,-0.186,0.048,235.411,11.299728,36.1554,-0.119,1730885731
0.078,235.493,18.368454,195.4212,-0.622,0.056,235.418,13.183408,70.80080000000001,-0.333,0.054,235.495,12.71673,36.1554,-0.116,1730885732
0.072,235.54,16.958879999999997,195.4212,0.033,0.061,235.508,14.365988,70.80080000000001,-0.065,0.08,235.538,18.843040000000002,36.1554,-0.167,1730885733
0.048,235.497,11.303856000000001,195.4212,-0.532,0.095,235.5,22.3725,70.80080000000001,-0.093,0.14,235.527,32.97378,36.1554,0.111,1730885734
0.051,235.408,12.005807999999998,195.4212,-0.92,0.048,235.408,11.299584,70.80080000000001,0.07,0.045,235.439,10.594755,36.1554,-0.14,1730885735
0.051,235.521,12.011570999999998,195.4212,0.201,0.061,235.478,14.364158,70.80080000000001,-0.161,0.061,235.478,14.364158,36.1554,-0.366,1730885736
0.059,235.455,13.891845,195.4212,0.7,0.051,235.448,12.007848,70.80080000000001,-0.134,0.066,235.469,15.540954000000001,36.1554,-0.194,1730885737
0.051,235.522,12.011622,195.4212,-0.318,0.051,235.514,12.011213999999999,70.80080000000001,-0.142,0.048,235.54,11.30592,36.1554,-0.442,1730885738
0.051,235.502,12.010602,195.4212,-0.39,0.171,235.503,40.271013,70.80080000000001,-0.163,0.07,235.477,16.483390000000004,36.1554,-0.055,1730885739
0.045,235.452,10.59534,195.4212,-0.38,0.051,235.399,12.005348999999999,70.80080000000001,-0.331,0.048,235.396,11.299007999999999,36.1554,0.165,1730885740
0.059,235.484,13.893556,195.4212,-0.549,0.051,235.515,12.011264999999998,70.80080000000001,-0.205,0.051,235.504,12.010703999999999,36.1554,-0.049,1730885741
0.045,235.595,10.601775,195.4212,-0.697,0.054,235.615,12.72321,70.80080000000001,-0.128,0.048,235.527,11.305296,36.1554,-0.39,1730885742
0.048,235.565,11.30712,195.4212,0.049,0.056,235.565,13.19164,70.80080000000001,-0.28,0.126,235.59,29.684340000000002,36.1554,0.287,1730885743
0.048,235.635,11.31048,195.4212,-0.352,0.059,235.636,13.902524,70.80080000000001,-0.163,0.048,235.682,11.312736,36.1554,-0.475,1730885744
0.048,235.631,11.310288,195.4212,-0.219,0.051,235.672,12.019271999999999,70.80080000000001,-0.408,0.059,235.691,13.905769,36.1554,-0.52,1730885745
0.045,235.624,10.603079999999999,195.4212,-0.591,0.054,235.564,12.720455999999999,70.80080000000001,-0.089,0.059,235.614,13.901226,36.1554,-0.233,1730885746
0.087,235.495,20.488065,195.4212,0.51,0.051,235.525,12.011775,70.80080000000001,-0.196,0.051,235.558,12.013457999999998,36.1554,-0.325,1730885747
0.061,235.543,14.368123,195.4212,-0.307,0.085,235.555,20.022175,70.80080000000001,0.118,0.059,235.603,13.900577,36.1554,0.059,1730885748
0.059,235.495,13.894205,195.4212,0.169,0.054,235.495,12.71673,70.80080000000001,-0.062,0.078,235.457,18.365645999999998,36.1554,0.056,1730885749
0.045,235.334,10.59003,195.4212,-0.51,0.056,235.329,13.178424000000001,70.80080000000001,-0.071,0.056,235.273,13.175288,36.1554,0.323,1730885750
0.07,235.261,16.46827,195.4212,0.824,0.051,235.317,12.001166999999999,70.80080000000001,-0.217,0.051,235.374,12.004074,36.1554,-0.066,1730885751
0.12,235.401,28.24812,195.4212,0.454,0.054,235.387,12.710898,70.80080000000001,-0.2,0.07,235.438,16.48066,36.1554,-0.178,1730885752
0.064,235.383,15.064512,195.4212,-0.986,0.045,235.435,10.594574999999999,70.80080000000001,-0.258,0.056,235.43,13.18408,36.1554,-0.025,1730885753
0.064,235.374,15.063936,195.4212,-0.94,0.056,235.398,13.182288,70.80080000000001,-0.338,0.051,235.391,12.004940999999999,36.1554,-0.449,1730885754
0.059,235.537,13.896683,195.4212,-0.16,0.082,235.51,19.31182,70.80080000000001,-0.133,0.078,235.563,18.373914,36.1554,-0.382,1730885755
0.099,235.498,23.314302,195.4212,0.378,0.07,235.54,16.4878,70.80080000000001,0.012,0.051,235.546,12.012846,36.1554,-0.112,1730885756
0.045,235.428,10.59426,195.4212,-0.2,0.048,235.418,11.300064,70.80080000000001,-0.094,0.056,235.412,13.183072000000001,36.1554,-0.245,1730885757
0.085,235.268,19.997780000000002,195.4212,-0.286,0.08,235.245,18.8196,70.80080000000001,-0.238,0.064,235.295,15.05888,36.1554,-0.022,1730885758
